,用户编号,总缴费次数,总缴费金额（元）,平均缴费次数(年),平均缴费金额（元）
0,1000000001,8,987,7.920792079207921,977.2277227722773
1,1000000002,7,490,6.930693069306931,485.1485148514851
2,1000000003,7,1180,6.930693069306931,1168.3168316831684
3,1000000004,8,621,8.0,621.0
4,1000000005,7,1500,6.930693069306931,1485.148514851485
5,1000000006,7,1010,6.930693069306931,1000.0
6,1000000007,7,1106,6.930693069306931,1095.049504950495
7,1000000008,7,1074,6.930693069306931,1063.3663366336634
8,1000000009,7,970,6.930693069306931,960.3960396039604
9,1000000010,8,773,7.920792079207921,765.3465346534654
10,1000000011,7,748,7.0,748.0
11,1000000012,7,911,7.0,911.0
12,1000000013,7,835,7.0,835.0
13,1000000014,7,749,7.0,749.0
14,1000000015,7,700,7.0,700.0
15,1000000016,8,784,8.0,784.0
16,1000000017,7,780,7.0,780.0
17,1000000018,7,641,7.0,641.0
18,1000000019,6,729,6.0,729.0
19,1000000020,7,899,6.930693069306931,890.09900990099
20,1000000021,7,757,6.930693069306931,749.5049504950495
21,1000000022,6,534,5.9405940594059405,528.7128712871287
22,1000000023,5,493,4.9504950495049505,488.1188118811881
23,1000000024,7,904,6.930693069306931,895.049504950495
24,1000000025,7,651,6.930693069306931,644.5544554455446
25,1000000026,7,777,6.930693069306931,769.3069306930693
26,1000000027,7,631,6.930693069306931,624.7524752475248
27,1000000028,6,571,6.0,571.0
28,1000000029,7,691,6.930693069306931,684.1584158415842
29,1000000030,7,671,6.930693069306931,664.3564356435644
30,1000000031,7,655,6.930693069306931,648.5148514851485
31,1000000032,6,519,7.0588235294117645,610.5882352941177
32,1000000033,6,545,5.9405940594059405,539.6039603960396
33,1000000034,7,721,7.0,721.0
34,1000000035,7,769,7.0,769.0
35,1000000036,6,645,6.976744186046512,750.0
36,1000000037,7,627,7.0,627.0
37,1000000038,6,534,6.0,534.0
38,1000000039,7,750,6.796116504854369,728.1553398058252
39,1000000040,7,656,7.0,656.0
40,1000000041,6,683,7.317073170731708,832.9268292682927
41,1000000042,7,612,7.0,612.0
42,1000000043,7,640,7.0,640.0
43,1000000044,6,601,6.0,601.0
44,1000000045,7,711,7.0,711.0
45,1000000046,6,711,6.0,711.0
46,1000000047,7,654,6.930693069306931,647.5247524752475
47,1000000048,6,678,5.9405940594059405,671.2871287128713
48,1000000049,7,589,6.930693069306931,583.1683168316831
49,1000000050,7,568,6.930693069306931,562.3762376237623
50,1000000051,6,597,7.0588235294117645,702.3529411764706
51,1000000052,7,766,6.930693069306931,758.4158415841584
52,1000000053,7,694,6.930693069306931,687.1287128712871
53,1000000054,6,459,5.9405940594059405,454.45544554455444
54,1000000055,7,788,6.930693069306931,780.1980198019802
55,1000000056,7,714,6.930693069306931,706.9306930693069
56,1000000057,7,711,6.930693069306931,703.960396039604
57,1000000058,7,685,6.862745098039215,671.5686274509803
58,1000000059,8,740,7.8431372549019605,725.4901960784314
59,1000000060,7,730,6.862745098039215,715.6862745098039
60,1000000061,7,683,6.862745098039215,669.6078431372549
61,1000000062,7,773,6.930693069306931,765.3465346534654
62,1000000063,7,628,6.930693069306931,621.7821782178218
63,1000000064,6,520,5.9405940594059405,514.8514851485148
64,1000000065,7,734,6.930693069306931,726.7326732673267
65,1000000066,6,699,5.9405940594059405,692.0792079207921
66,1000000067,7,689,6.930693069306931,682.1782178217821
67,1000000068,7,711,6.930693069306931,703.960396039604
68,1000000069,6,548,5.9405940594059405,542.5742574257425
69,1000000070,8,667,7.920792079207921,660.3960396039604
70,1000000071,7,742,6.930693069306931,734.6534653465346
71,1000000072,7,798,6.930693069306931,790.09900990099
72,1000000073,4,404,3.9603960396039604,400.0
73,1000000074,7,636,6.930693069306931,629.7029702970297
74,1000000075,7,629,6.930693069306931,622.7722772277227
75,1000000076,7,725,6.930693069306931,717.8217821782179
76,1000000077,7,720,6.930693069306931,712.8712871287129
77,1000000078,5,592,4.9504950495049505,586.1386138613861
78,1000000079,6,597,5.9405940594059405,591.0891089108911
79,1000000080,7,603,6.930693069306931,597.0297029702971
80,1000000081,7,680,6.930693069306931,673.2673267326733
81,1000000082,5,508,7.462686567164178,758.2089552238806
82,1000000083,7,748,6.930693069306931,740.5940594059406
83,1000000084,7,1289,6.930693069306931,1276.2376237623762
84,1000000085,7,569,6.930693069306931,563.3663366336633
85,1000000086,4,325,7.692307692307692,625.0
86,1000000087,7,651,6.930693069306931,644.5544554455446
87,1000000088,7,538,6.930693069306931,532.6732673267327
88,1000000089,5,388,7.246376811594203,562.3188405797102
89,1000000090,6,612,7.142857142857143,728.5714285714286
90,1000000091,7,761,6.930693069306931,753.4653465346535
91,1000000092,3,254,8.823529411764705,747.0588235294117
92,1000000093,5,463,7.246376811594203,671.0144927536232
93,1000000094,6,626,7.142857142857143,745.2380952380953
94,1000000095,7,999,6.930693069306931,989.1089108910891
95,1000000096,7,916,6.930693069306931,906.9306930693069
96,1000000097,6,649,5.9405940594059405,642.5742574257425
97,1000000098,6,735,7.0588235294117645,864.7058823529412
98,1000000099,6,853,5.9405940594059405,844.5544554455446
99,1000000100,7,943,6.930693069306931,933.6633663366337
